month,country,know_ini,ambig_ini,day,date,jul_start_date,jul_end_date,day_span,n_injurd,tar_gpol,event,posthoc,ev_type,linked,loc_type,ad_viol,weap_grd,n_killed_a,e_length,n_injurd_d,dam_prop,arrests,per_atk_i,per_atk_e,pub_order,retribution,sc_animosity,anti_gov_sentmnts,class_conflict,pol_desires,retain_power,eco_scarcity,pers_security,coup,coup_failed,region,weapon,duration,s_month,s_day,weekday
7,NA,1,FALSE,16,7/16/1981,13302,13393,92,0,TRUE,TRUE,FALSE,1,TRUE,16,FALSE,1,0,4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,3,6,2,3
7,NA,1,FALSE,16,7/16/1981,13302,13393,92,0,FALSE,TRUE,FALSE,2,TRUE,16,FALSE,2,0,4,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,7,3,6,2,3
7,NA,1,FALSE,16,7/16/1981,13302,13393,92,0,FALSE,TRUE,FALSE,1,FALSE,16,FALSE,1,0,4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,3,6,2,3
8,NA,1,FALSE,12,8/12/1981,13370,13377,8,0,FALSE,TRUE,FALSE,2,TRUE,27,FALSE,1,0,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,2,8,9,1
8,NA,1,FALSE,12,8/12/1981,13370,13377,8,0,FALSE,TRUE,TRUE,1,FALSE,27,FALSE,1,0,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,2,8,9,1
12,NA,1,FALSE,20,12/20/1981,13503,13504,2,2,FALSE,TRUE,FALSE,2,TRUE,18,FALSE,2,0,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3,1,12,20,1
12,NA,1,FALSE,20,12/20/1981,13503,13504,2,2,FALSE,TRUE,FALSE,2,TRUE,18,FALSE,2,0,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3,1,12,20,1
7,NA,0,FALSE,16,7/16/1983,12419,12783,365,50,FALSE,TRUE,FALSE,2,FALSE,2,FALSE,4,3,1,10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,18,3,1,1,2
1,NA,5,FALSE,16,1/16/1984,14245,14275,31,0,FALSE,TRUE,FALSE,2,TRUE,16,FALSE,4,0,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,18,3,1,1,1
3,NA,1,FALSE,16,3/16/1984,14304,14334,31,0,FALSE,TRUE,FALSE,2,TRUE,4,FALSE,4,0,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,18,3,2,29,4
